Prediction,Tweet
2.2138627602145204,Customers urge boycott of MGM Resorts after the casino files lawsuits against mass shooting victims… https://t.co/dAhk87dPmA
25.82861807719264,The price of lumber $LB_F is down 22% since hitting its YTD highs. The Macy's $M turnaround is still happening.… https://t.co/XnKsV4De39
-12.359862588901315,New York City will force Airbnb to disclose information on its hosts https://t.co/jdq88zBMGR https://t.co/9SPvNk6cVU
6.436287674510266,.@RealMoney's David Butler's favorite FANG stock isn't #RealMoneySOD Alphabet but Facebook https://t.co/MczAPSFjOi
-10.898999519876561,Who says the American Dream is dead? https://t.co/CRgx19x7sA
-6.7112229776181245,Alcoa cuts adjusted EBITDA forecast citing tariffs shares slide https://t.co/mdMJXjnYIs https://t.co/5O8fvwlHpY
16.716823899978895,The gap tightens in the race to a trillion dollar valuation as Amazon hits $900 billion https://t.co/zjzm25Aglq via… https://t.co/difuFt6sGp
1.5796096632859202,How satellites avoid attacks and space junk while circling the Earth https://t.co/aHzIV3Lqp5 #paid @Oracle https://t.co/kacpqZWiDJ
15.996580154277444,.@RealMoney's David Butler's favorite FANG stock isn't #RealMoneySOD Alphabet but Facebook https://t.co/MczAPSFjOi
-0.9291055859522581,Charts say #RealMoneySOD $GOOGL could rise 17% or more from here: @BruceKamich  https://t.co/cZbRY4daHN
-5.794944083561742,White House struggles to contain fallout from Trump-Putin summit https://t.co/NtzACHJibs https://t.co/fLshAUDRzs
-52.22800519072025,EBay revenue misses as weak U.S. sporting season hits StubHub https://t.co/3RdnkMVUn8 https://t.co/N6iXpxEZjG
5.679993002413799,Only two northern white rhinos still exist making it the world's most endangered subspecies of mammal https://t.co/WeJufervx6
17.900985374336692,New time: Janet Yellen and I in conversation at Brookings on Feb. 27 at 2 PM EST. Join us online or on Facebook Liv… https://t.co/hDg7X5Rc5P
2.9829968968415344,Templeton and BlackRock say now's the time to buy emerging markets https://t.co/h4z90nxqwH https://t.co/6FkVrZlu3j
12.8302851036478,U.S. intelligence documents on Nelson Mandela made public https://t.co/XTnEfo1rO6 https://t.co/V8DXkWDQ6R
10.163536185068018,Roger Federer's Uniqlo deal makes him one of the few athletes to earn more than $70M from endorsements… https://t.co/jQ8sOAyeBQ
0.47057640935662787,The gap tightens in the race to a trillion dollar valuation as Amazon hits $900 billion https://t.co/zjzm25Aglq via… https://t.co/difuFt6sGp
-4.099233559406691,"Trump tells CBS he's ""always wanted"" to be interviewed by Special Counsel Mueller but deflected questions on whethe… https://t.co/at43BIGpDh"
5.094089965646516,.@RealMoney's David Butler's favorite FANG stock isn't #RealMoneySOD Alphabet but Facebook https://t.co/MczAPSFjOi
